"会员","级别","评价星级","评价内容","时间","点赞数","评论数","追评时间","追评内容","页面网址","页面标题","采集时间"
"科地",,"star1","安装差的像几把一样！老子现在看到都烦！安装极不负责！","2018-07-08 10:38","9","1",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:18:48.4643112"
"j***忘",,"star3","不是价保30天呢，保价双十一，还是降了*","2018-11-10 20:40","0","1",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:18:48.4993352"
"周***9",,"star1","7月6号安装好的 到现在没用过 中间安装师傅给修了下说是漏氟 当晚修好第二天又坏了 想退货 如果退的话安装时乱七八糟的费用九百多就浪费了 换货也不知道几年能换成 这大热天的真让人心塞","2018-08-01 08:27","1","1",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:18:48.5353587"
"浪***1","PLUS会员","star2","有股子新机器味，遥控器调整方式也不方便，目前一个月，依然有味道，打开之后咔咔咔的响半天，一根手指就能让晃动，总体觉得这个价位的机器，这么多小毛病，着实不敢恭维","2018-11-09 08:54","0","2",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:18:48.5733841"
"n***6","PLUS会员","star1","空调安装问题太大！欺骗消费者，违规安装京东是找的什么第三方安装人员在为消费者服务？在安装过程中竟然不抽真空。最后欺骗我说已经抽过真空。试问真空泵都没有携带的安装人员是怎么完成这项工作的？用嘴完成的吗？最后被我拆穿了，安装人员竟然厚颜无耻得告诉我，没有抽真空的空调效果会更加出色！","2018-05-04 02:44","9","3","[购买4天后追评]",,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:18:48.6174136"
"x***a",,"star2","为什么安装工没有抽真空呢？大家的都抽没抽真空呀","2018-07-13 06:28","0","2",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:19:03.8065723"
"j***9",,"star1","今天刚收货价格就降了*块钱。京东的价格变动幅度好大。","2018-04-17 20:35","2","5",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:19:03.8375925"
"d***l",,"star1","两点较失望: 1.空调内机外壳塑料单薄，晃晃悠悠，按触屏键，内机就会晃的厉害；2.风速自动加大过程中，噪音较大，非常明显听到电机加速的声音，而且是在旁边电视还开着的情况下都能明显听到。","2018-06-28 00:34","0","3",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:19:03.8666188"
"生***样","PLUS会员","star5","漂亮","2018-12-02 23:31","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:19:03.8976326"
"月***草",,"star1","空调不错，但是美的的售后太差了。室外机安装的歪着！斜着装的，安装师傅说没事，掉不下去。整个小区只有美的空调室外机是歪着，还好给美的长长脸。开始感觉无所谓，现在越看越难受","2018-06-15 22:37","5","3","[购买15天后追评]",,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:19:03.9296541"
"S***u","PLUS会员","star1","说是安装免费，我一没有用你钻孔二没有增加什么材料，真的就是纯安装，还收我*块！要么就说收费，我给得起，说了免费又收费性质就不一样了，让人觉得#","2018-08-09 19:33","1","1","[购买8天后追评]",,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:19:03.9616755"
"a***0",,"star1","质量非常像玩具，全都是垃圾塑料材质，千万别被无风感骗了，无风感=风速小，是个品牌的空调就能做到。无风感确实有欺骗的意思。","2018-05-29 21:04","2","2",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:19:03.9966992"
"j***d","PLUS会员","star1","太差了 所谓的无风感只不过是在前面加了个带孔的塑料板子，一样的有风，还卖那么贵 美的不值得信赖，欺骗消费者","2018-06-21 08:19","1","1",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:19:04.0317232"
"d***8","PLUS会员","star5","挺好","2018-11-28 16:51","0","0","[购买2天后追评]","还不错","https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:19:04.0687471"
"j***8",,"star1","早上买到晚上价格都掉价了，还保价30天坑人","2018-06-19 11:33","1","3",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:19:04.1117759"
"1***p",,"star1","根本就没人给安装","2018-07-22 22:55","0","1",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:19:19.2929287"
"y***Q","PLUS会员[试用]","star5","好","2018-12-12 10:04","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:19:19.3239506"
"j***2",,"star5","好","2018-12-12 10:42","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:19:19.3569724"
"j***5",,"star1","这次购物太失望，都说京东电器值得信任，柜机买回来安装好，当晚使用触摸开关打开，一碰到柜机就吱嘎响，用手轻轻推来回摇晃，还嘎吱嘎吱响，问了客服说不会出现这个问题，联系售后半个月了也不来，难道不是和门店卖的美的一个售后吗？以前打美的官方客服第二天就来了！！真的很失望！柜机摇晃的太厉害，开制冷，一到后半夜，味道呛得开窗！我真的越想越难受，大半夜来评论！扎心","2018-07-28 03:37","2","4",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:19:19.3889929"
"张***霖",,"star1","在京东购物5年多了，第一次遇到二手产品，真是特别吃惊，居然在京东自营购买到了二手空调，前段时间京东售卖假茅台，还以为是恶意中伤京东，今天实实在在收到了一台二手旧的空调，是在可悲、伤心，刘**总，你的京东是电器起家，现在居然有了二手货、旧货，你该如何处理？","2018-06-03 13:30","2","3","[购买4天后追评]","发生这么不愉快的事件之后，京东和美的都在积极的进行处理，现在已经给我换了一台，产品的外观没得说，很时尚，制冷性能很好，尤其是安装的小哥非常值得表扬，我家住在高层，外面天气又是这么热，安装的小哥依然无怨无悔，安装服务非常周到","https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:19:19.4220159"
"j***w","PLUS会员","star1","美的安装一看3p嫌外挂机太大各种不情愿、态度及其不好、暗示我退货、后来逼我帮忙才给安装、安装时我腰挂破了、安装不穿鞋套、安装费二百四、京东安装评价他拿我手机自己评的、5天后京东活动、差了*、不给价格保护、本来就是买的*、对比后退的选的京东、以后京东美的我就呵呵了！本人2个号全是钻石plus会员头一次差评！","2018-08-02 09:16","0","2","[购买8天后追评]",,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:19:19.4550371"
"崔***龙","PLUS会员","star1","空调没问题，但服务差评，我才买了老天就降价*元，还有赠品，这差距太大了，你有活动你为什么不预告？","2018-06-06 23:52","3","2","[购买4天后追评]",,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:19:19.4960645"
"j***x",,"star5","京东物流很快速！上门安装的师傅服务超级好！这个冬天不怕冷啦！我家卧室的两台空调都是美的的，用了十年了，质量一直挺好，美的品牌值得信赖！","2018-11-24 14:29","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:19:19.5350906"
"S***S",,"star5","此用户未填写评价内容","2018-11-24 14:23","1","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:19:19.5761181"
"平***超",,"star5","产品是昨天安装好的，安装师傅服务态度很好，我们家安装起来比较麻烦，师傅花了很长才安好，开机试了半小时，机器还可以，暂时没有发现什么问题，等用了一段时间之后再来追加评论","2018-11-24 11:20","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:19:19.6241502"
"j***0","PLUS会员","star5","空调很漂亮，安装师傅服务很到位，到货后师傅就联系我安装，因为自己没空延期了几天，后面约了个时间，师傅很快就上门了，空调风挺大的，只试了暖风，感觉挺热和的，不错，冷风应该也还不错，以后再慢慢体验！","2018-11-22 22:18","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:19:34.8143090"
"j***a",,"star5","物有所值！美的好样！","2018-11-22 20:28","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:19:34.8453301"
"j***i",,"star5","好！","2018-11-22 17:51","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:19:34.8743492"
"j***z","PLUS会员","star5","美的空调大品牌值得信赖，非常漂亮的外观，放在家里档次高，美的的无风感空调真的太好了再也不用担心空调病了，真的做到了有凉感无风感，制热速度真真的快几分钟屋子就暖和了，非常好的空调太棒了，给美的空调一个大大的赞赞赞赞赞。","2018-11-22 10:06","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:19:34.9063703"
"j***一","PLUS会员","star5","不错的空调，在京东买了好多大电器了，都非常不错，1级能效非常给力","2018-11-22 09:07","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:19:34.9383935"
"5***n",,"star5","挑了很久的空调，实体店里也看了，终于在双十一在京东下单了，看中的是京东的价格，物流和售后。送货很快，机器整体美观大方，顶部像个花型，中间的土豪金色很有档次，很无风感很适合家里有小孩的，遥控器也很别致，使用起来制热速度非常快，不一会在客餐厅都能感觉到热风了，运行时声音很小，安装师傅全程很专业，没有收取额外费用，态度很好，安装到位，很负责，安装好了还清理了现场，也给讲解了使用方法和功能，放在角落也不占地方，非常满意，不多说了，上几张图看看","2018-11-22 06:07","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:19:34.9704134"
"h***9","PLUS会员","star4","外观还不错，就是实体比想象大不少，略微有点占地，试用了下功能应该ok，价格相比格力还是实惠点","2018-11-21 23:11","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:19:35.0044362"
"小***嘻","PLUS会员","star5","完美","2018-11-21 22:23","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:19:35.0444639"
"文***东","PLUS会员","star5","外观时尚靓丽，操作简单便捷，制冷制热速度快，效果好，非常满意","2018-11-21 22:00","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:19:35.0844912"
"大***2",,"star5","物流发货很快、安装服务也很快、外观不错、试了一下挺好的、","2018-11-21 21:59","0","0","[购买3天后追评]","发货很快、送货很速度、外观挺好看的、安装人员上门很速度、安装服务比较不错、上午打电话联系、中午就过来了、真正的0元安装不收费哦、开机试了一下很不错、暖风很舒服的、喜欢的可以下手了","https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:19:35.1235158"
"h***y",,"star5","送货快，装机师傅服务好","2018-11-21 20:56","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:19:50.3156760"
"m***i",,"star5","空调板装这个室外机有些紧张，师傅想办法才给塞进去。空调吹着很舒服","2018-11-21 17:03","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:19:50.3466968"
"雨***山","PLUS会员","star5","送货很快，空调外观功能也很棒，冬天只能试热风，热的速度很快，安装师傅水平也好，安装的很辛苦，整个安装过程没有收费，还是很满意的。","2018-11-21 14:50","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:19:50.3747155"
"j***l",,"star5","想了好久才决定买美的，性价比高，安装师傅好负责，感觉京东真的好快，服务周到，棒棒的，希望每次进步一点点，越来越好！","2018-11-21 14:44","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:19:50.4067372"
"b***视",,"star5","外观很小巧，噪音很小，值得小伙伴们购买发货比较快双十一购买差不多4天售后安装的师傅很给力，服务态度非常好，提前一天联系上门安装，性能很好，满意度满意 必须五星。","2018-11-21 10:46","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:19:50.4377574"
"4***m",,"star5","空调可以，一会儿房子热起来了。","2018-11-21 09:54","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:19:50.4697791"
"j***q","PLUS会员","star5","美的空调大品牌值得信赖。制热效果很好。无风感的。送货速度快安装师傅服务态度很好很热情给力好评好好好","2018-11-21 09:00","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:19:50.5038018"
"j***0","PLUS会员","star5","造型很大气  总体比较满意 外机声音有点大 可能是因为匹数大","2018-11-20 23:50","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:19:50.5418273"
"h***2",,"star5","外观时尚美丽，性能稳定可靠，能耗低，客服服务好，安装服务好，物流配送快，有无风感功能，外观好，圆柱形，占地面积小，一级能效，省电","2018-11-20 23:35","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:19:50.5818540"
"j***7",,"star5","因为现在是冬天 安好之后只使用了制热功能 家里温度很快就上来了 无风感和外观深得家人心","2018-11-20 21:26","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:19:50.6208801"
"j***9",,"star5","本来一开始没打算买这么贵的柜机的，就想买个便宜的三级能效的，看了美的智行，iFun，但是智行和iFun外观那叫一个丑啊，最后转向格力，确定了格力的i享，7599，不包安装，然后双十一看到这款搞活动，是美的万元内外观最好看的一款，一级能效，又包安装，就果断入手了。空调安装当天试了一下，制冷制热都挺快的，制冷的时候可以调成无风感，是感受不到风的，这点对家里有老人和小孩来说，特别实用。另外，还买了3台美的挂机，两位师傅一起安装，从下午两点安装到六点半，属于高空作业，看着都有点害怕，辛苦两位师傅了，安装师傅态度也挺好的，还帮忙收拾残留的包装和地上的垃圾，着实不易。","2018-11-20 19:45","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:20:05.8130403"
"a***6",,"star5","此用户未填写评价内容","2018-11-20 18:21","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:20:05.8480637"
"奔***_","PLUS会员","star5","8年前再去美的集团办公室工作，还是非常信赖自己公司的产品。这次买了圆形的空调，美观大方不占用空间；试用了一下制暖，还不错。安装师傅是我最满意的，家里跟换电源，加线等。做的非常好！也让感觉到了美的和京东这些年在售后上下的功夫。","2018-11-20 18:05","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:20:05.8790845"
"浮***华","PLUS会员","star5","空调已经送上门，已经安装好了。空调外观很漂亮，贵也有贵的道理，性能应该不错。毕竟美的大品牌，服务不错，值得好评","2018-11-20 17:15","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:20:05.9091046"
"j***n",,"star5","美的空调全五星","2018-11-20 16:50","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:20:05.9401253"
"李***艳","PLUS会员","star5","此用户未填写评价内容","2018-11-20 16:25","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:20:05.9751487"
"谢***n",,"star5","第一次送的是坏的，后面立马加急又送过来一台。非常感谢！","2018-11-20 15:43","0","0","[购买2天后追评]",,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:20:06.0091715"
"叮***-","PLUS会员","star5","空调看着还行，安装不太给力，装外墙嫌麻烦，总体还凑合","2018-11-20 15:36","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:20:06.0451956"
"d***0",,"star5","此用户未填写评价内容","2018-11-20 15:07","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:20:06.0852223"
"h***9","PLUS会员","star5","一如既往的好，相信美的空调的实力，物美价廉","2018-11-20 14:14","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:20:06.1252488"
"j***b",,"star5","安装非常给力，绝对五星好评。","2018-11-20 10:24","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:20:21.3194112"
"j***5",,"star5","双十一买的空调，两位师傅安装特别专业，第一次买美的这么贵的空调，质量没话说。还有主次卧书房都打算买美的的空调。","2018-11-20 08:58","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:20:21.3524327"
"小***1",,"star5","送货速度很满意，而且从外地调的货，外观也很漂亮，大气，最满意的是安装，我们小区在全市就空调安装这一块，是鼎鼎大名的，属于那种给钱都不来的，今天大清早安装师傅就来了，一直装到中午才好，外机挂的非常漂亮。","2018-11-19 23:00","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:20:21.3814521"
"j***e","PLUS会员","star5","售后服务好，制冷制热都比较快，外观漂亮是我满意的款式！","2018-11-19 21:41","0","0",,,"https://item.jd.com/6415295.html#comment","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:20:21.4114722"
